# x_m,y_m,w_tr_right_m,w_tr_left_m
5.8435,-14.5708,2.0988,2.0988
5.8435,-14.5208,2.0887,2.0887
5.8435,-14.4708,2.0797,2.0797
5.8935,-14.4208,2.1213,2.1213
5.8935,-14.3708,2.1148,2.1148
5.8935,-14.3208,2.1095,2.1095
5.8935,-14.2708,2.1054,2.1054
5.8935,-14.2208,2.1024,2.1024
5.8935,-14.1708,2.1006,2.1006
5.8935,-14.1208,2.1000,2.1000
5.8935,-14.0708,2.1000,2.1000
5.8935,-14.0208,2.1000,2.1000
5.8935,-13.9708,2.1000,2.1000
5.8935,-13.9208,2.1000,2.1000
5.9435,-13.8708,2.1500,2.1500
5.9435,-13.8208,2.1500,2.1500
5.9435,-13.7708,2.1500,2.1500
5.9435,-13.7208,2.1500,2.1500
5.9435,-13.6708,2.1500,2.1500
5.9435,-13.6208,2.1500,2.1500
5.9435,-13.5708,2.1500,2.1500
5.9435,-13.5208,2.1500,2.1500
5.9435,-13.4708,2.1500,2.1500
5.9935,-13.4208,2.2006,2.2006
5.9935,-13.3708,2.2023,2.2023
6.0435,-13.3208,2.2550,2.2550
6.0935,-13.2708,2.3087,2.3087
6.1435,-13.2208,2.3633,2.3633
6.1435,-13.1708,2.3691,2.3691
6.1435,-13.1208,2.3759,2.3759
6.1935,-13.0708,2.3964,2.3964
6.2435,-13.0208,2.3712,2.3712
6.2435,-12.9708,2.3880,2.3880
6.2935,-12.9208,2.3585,2.3585
6.2935,-12.8708,2.3770,2.3770
6.3435,-12.8208,2.3505,2.3505
6.3435,-12.7708,2.3712,2.3712
6.3935,-12.7208,2.3409,2.3409
6.3935,-12.6708,2.3585,2.3585
6.4435,-12.6208,2.3308,2.3308
6.4435,-12.5708,2.3505,2.3505
6.4935,-12.5208,2.3259,2.3259
6.4935,-12.4708,2.3479,2.3479
6.5435,-12.4208,2.3259,2.3259
6.5435,-12.3708,2.3479,2.3479
6.5935,-12.3208,2.3243,2.3243
6.5935,-12.2708,2.3409,2.3409
6.6435,-12.2208,2.3119,2.3119
6.6435,-12.1708,2.3308,2.3308
6.6435,-12.1208,2.3265,2.3265
6.6935,-12.0708,2.3259,2.3259
6.6935,-12.0208,2.3259,2.3259
6.7435,-11.9708,2.3259,2.3259
6.7435,-11.9208,2.3259,2.3259
6.7935,-11.8708,2.3259,2.3259
6.7935,-11.8208,2.3259,2.3259
6.8435,-11.7708,2.3259,2.3259
6.8435,-11.7208,2.3259,2.3259
6.8435,-11.6708,2.3033,2.3033
6.8935,-11.6208,2.3259,2.3259
6.8935,-11.5708,2.3033,2.3033
6.9435,-11.5208,2.3259,2.3259
6.9435,-11.4708,2.3033,2.3033
6.9935,-11.4208,2.3259,2.3259
7.0435,-11.3708,2.3479,2.3479
7.0435,-11.3208,2.3259,2.3259
7.0435,-11.2708,2.3049,2.3049
7.0935,-11.2208,2.3308,2.3308
7.1435,-11.1708,2.3585,2.3585
7.1435,-11.1208,2.3324,2.3324
7.1935,-11.0708,2.3505,2.3505
7.1935,-11.0208,2.3265,2.3265
7.2435,-10.9708,2.3479,2.3479
7.2935,-10.9208,2.3712,2.3712
7.2935,-10.8708,2.3505,2.3505
7.3435,-10.8208,2.3770,2.3770
7.3935,-10.7708,2.3817,2.3817
7.4435,-10.7208,2.3717,2.3717
7.4435,-10.6708,2.3712,2.3712
7.4935,-10.6208,2.3754,2.3754
7.5435,-10.5708,2.3817,2.3817
7.5935,-10.5208,2.3717,2.3717
7.6435,-10.4708,2.3601,2.3601
7.6435,-10.4208,2.3712,2.3712
7.6935,-10.3708,2.3754,2.3754
7.7435,-10.3208,2.3754,2.3754
7.7935,-10.2708,2.3712,2.3712
7.8435,-10.2208,2.3601,2.3601
7.8435,-10.1708,2.3712,2.3712
7.8935,-10.1208,2.3754,2.3754
7.9435,-10.0708,2.3754,2.3754
7.9935,-10.0208,2.3712,2.3712
7.9935,-9.9708,2.3601,2.3601
8.0435,-9.9208,2.3717,2.3717
8.0935,-9.8708,2.3817,2.3817
8.1435,-9.8208,2.3901,2.3901
8.1935,-9.7708,2.3817,2.3817
8.1935,-9.7208,2.3717,2.3717
8.2435,-9.6708,2.3817,2.3817
8.2935,-9.6208,2.3901,2.3901
8.2935,-9.5708,2.3601,2.3601
8.3435,-9.5208,2.3717,2.3717
8.3935,-9.4708,2.3854,2.3854
8.4435,-9.4208,2.4005,2.4005
8.4935,-9.3708,2.4130,2.4130
8.5435,-9.3208,2.4274,2.4274
8.5935,-9.2708,2.4398,2.4398
8.6435,-9.2208,2.4398,2.4398
8.6435,-9.1708,2.4135,2.4135
8.6935,-9.1208,2.4207,2.4207
8.7435,-9.0708,2.4300,2.4300
8.7935,-9.0208,2.4413,2.4413
8.8435,-8.9708,2.4546,2.4546
8.8935,-8.9208,2.4698,2.4698
8.9435,-8.8708,2.4749,2.4749
8.9435,-8.8208,2.4520,2.4520
8.9935,-8.7708,2.4602,2.4602
9.0435,-8.7208,2.4703,2.4703
9.0935,-8.6708,2.4824,2.4824
9.1435,-8.6208,2.4910,2.4910
9.1935,-8.5708,2.5000,2.5000
9.1935,-8.5208,2.4703,2.4703
9.2435,-8.4708,2.4824,2.4824
9.2935,-8.4208,2.4965,2.4965
9.2935,-8.3708,2.4698,2.4698
9.3435,-8.3208,2.4870,2.4870
9.3935,-8.2708,2.5060,2.5060
9.3935,-8.2208,2.4824,2.4824
9.4435,-8.1708,2.5045,2.5045
9.4935,-8.1208,2.5269,2.5269
9.4935,-8.0708,2.5045,2.5045
9.4935,-8.0208,2.4824,2.4824
9.5435,-7.9708,2.5045,2.5045
9.5435,-7.9208,2.4829,2.4829
9.5435,-7.8708,2.4622,2.4622
9.5935,-7.8208,2.4885,2.4885
9.5935,-7.7708,2.4698,2.4698
9.6435,-7.7208,2.4990,2.4990
9.6435,-7.6708,2.4824,2.4824
9.6435,-7.6208,2.4668,2.4668
9.6935,-7.5708,2.4990,2.4990
9.6935,-7.5208,2.4824,2.4824
9.6935,-7.4708,2.4668,2.4668
9.6935,-7.4208,2.4520,2.4520
9.7435,-7.3708,2.4865,2.4865
9.7435,-7.3208,2.4739,2.4739
9.7435,-7.2708,2.4622,2.4622
9.7435,-7.2208,2.4515,2.4515
9.7435,-7.1708,2.4418,2.4418
9.7435,-7.1208,2.4331,2.4331
9.7435,-7.0708,2.4254,2.4254
9.7435,-7.0208,2.4187,2.4187
9.6935,-6.9708,2.3633,2.3633
9.6935,-6.9208,2.3585,2.3585
9.6935,-6.8708,2.3548,2.3548
9.6935,-6.8208,2.3521,2.3521
9.6935,-6.7708,2.3505,2.3505
9.6435,-6.7208,2.3000,2.3000
9.6435,-6.6708,2.3000,2.3000
9.6435,-6.6208,2.3000,2.3000
9.6435,-6.5708,2.3000,2.3000
9.6435,-6.5208,2.3000,2.3000
9.6435,-6.4708,2.3000,2.3000
9.5935,-6.4208,2.2500,2.2500
9.5935,-6.3708,2.2500,2.2500
9.5935,-6.3208,2.2500,2.2500
9.5935,-6.2708,2.2500,2.2500
9.5435,-6.2208,2.2000,2.2000
9.5435,-6.1708,2.2000,2.2000
9.5435,-6.1208,2.2006,2.2006
9.5435,-6.0708,2.2023,2.2023
9.5435,-6.0208,2.2051,2.2051
9.4935,-5.9708,2.1593,2.1593
9.4935,-5.9208,2.1645,2.1645
9.4935,-5.8708,2.1708,2.1708
9.4935,-5.8208,2.1783,2.1783
9.4935,-5.7708,2.1869,2.1869
9.4435,-5.7208,2.1477,2.1477
9.4435,-5.6708,2.1587,2.1587
9.4435,-5.6208,2.1708,2.1708
9.4435,-5.5708,2.1840,2.1840
9.3935,-5.5208,2.1506,2.1506
9.3935,-5.4708,2.1662,2.1662
9.3935,-5.4208,2.1829,2.1829
9.3935,-5.3708,2.1983,2.1983
9.3435,-5.3208,2.1662,2.1662
9.3435,-5.2708,2.1829,2.1829
9.3435,-5.2208,2.2006,2.2006
9.3435,-5.1708,2.2192,2.2192
9.2935,-5.1208,2.1932,2.1932
9.2935,-5.0708,2.2142,2.2142
9.2935,-5.0208,2.2361,2.2361
9.2935,-4.9708,2.2589,2.2589
9.2435,-4.9208,2.2361,2.2361
9.1935,-4.8708,2.2142,2.2142
9.1935,-4.8208,2.2361,2.2361
9.1435,-4.7708,2.2142,2.2142
9.1435,-4.7208,2.2361,2.2361
9.0935,-4.6708,2.2147,2.2147
9.0935,-4.6208,2.2389,2.2389
9.0435,-4.5708,2.2209,2.2209
9.0435,-4.5208,2.2472,2.2472
8.9935,-4.4708,2.2327,2.2327
8.9435,-4.4208,2.2204,2.2204
8.9435,-4.3708,2.2500,2.2500
8.8935,-4.3208,2.2411,2.2411
8.8935,-4.2708,2.2411,2.2411
8.8435,-4.2208,2.2500,2.2500
8.7935,-4.1708,2.2611,2.2611
8.7435,-4.1208,2.2500,2.2500
8.7435,-4.0708,2.2344,2.2344
8.6935,-4.0208,2.2411,2.2411
8.6435,-3.9708,2.2500,2.2500
8.5935,-3.9208,2.2500,2.2500
8.5435,-3.8708,2.2411,2.2411
8.5435,-3.8208,2.2344,2.2344
8.4935,-3.7708,2.2411,2.2411
8.4435,-3.7208,2.2500,2.2500
8.3935,-3.6708,2.2500,2.2500
8.3435,-3.6208,2.2411,2.2411
8.2935,-3.5708,2.2344,2.2344
8.2435,-3.5208,2.2299,2.2299
8.2435,-3.4708,2.2299,2.2299
8.1935,-3.4208,2.2344,2.2344
8.1435,-3.3708,2.2411,2.2411
8.0935,-3.3208,2.2500,2.2500
8.0435,-3.2708,2.2611,2.2611
7.9935,-3.2208,2.2500,2.2500
7.9435,-3.1708,2.2411,2.2411
7.8935,-3.1208,2.2344,2.2344
7.8435,-3.0708,2.2299,2.2299
7.7935,-3.0208,2.2277,2.2277
7.7435,-2.9708,2.2204,2.2204
7.6935,-2.9208,2.2102,2.2102
7.6435,-2.8708,2.2023,2.2023
7.5935,-2.8208,2.1966,2.1966
7.5935,-2.7708,2.2277,2.2277
7.5435,-2.7208,2.2277,2.2277
7.4935,-2.6708,2.2277,2.2277
7.4435,-2.6208,2.2277,2.2277
7.3935,-2.5708,2.2277,2.2277
7.3435,-2.5208,2.2277,2.2277
7.2935,-2.4708,2.2277,2.2277
7.2435,-2.4208,2.2277,2.2277
7.1935,-2.3708,2.2277,2.2277
7.1435,-2.3208,2.2277,2.2277
7.0935,-2.2708,2.2204,2.2204
7.0435,-2.2208,2.2102,2.2102
6.9935,-2.1708,2.2023,2.2023
6.9435,-2.1208,2.1966,2.1966
6.8935,-2.0708,2.1932,2.1932
6.8435,-2.0208,2.1920,2.1920
6.7935,-1.9708,2.1920,2.1920
6.7435,-1.9208,2.1915,2.1915
6.6935,-1.8708,2.1800,2.1800
6.6435,-1.8208,2.1708,2.1708
6.5935,-1.7708,2.1639,2.1639
6.5435,-1.7708,2.1932,2.1932
6.4935,-1.7208,2.1932,2.1932
6.4435,-1.6708,2.1920,2.1920
6.3935,-1.6208,2.1915,2.1915
6.3435,-1.5708,2.1800,2.1800
6.2935,-1.5208,2.1708,2.1708
6.2435,-1.5208,2.1932,2.1932
6.1935,-1.4708,2.1966,2.1966
6.1435,-1.4208,2.1915,2.1915
6.0935,-1.3708,2.1800,2.1800
6.0435,-1.3708,2.1800,2.1800
5.9935,-1.3208,2.1915,2.1915
5.9435,-1.2708,2.1966,2.1966
5.8935,-1.2708,2.1708,2.1708
5.8435,-1.2208,2.1800,2.1800
5.7935,-1.1708,2.1915,2.1915
5.7435,-1.1208,2.2023,2.2023
5.6935,-1.1208,2.1783,2.1783
5.6435,-1.0708,2.1915,2.1915
5.5935,-1.0208,2.2051,2.2051
5.5435,-1.0208,2.1783,2.1783
5.4935,-0.9708,2.1915,2.1915
5.4435,-0.9208,2.2051,2.2051
5.3935,-0.9208,2.1783,2.1783
5.3435,-0.8708,2.1915,2.1915
5.2935,-0.8208,2.2051,2.2051
5.2435,-0.8208,2.1783,2.1783
5.1935,-0.7708,2.1954,2.1954
5.1435,-0.7208,2.2051,2.2051
5.0935,-0.7208,2.1915,2.1915
5.0435,-0.6708,2.2142,2.2142
4.9935,-0.6708,2.1915,2.1915
4.9435,-0.6208,2.2142,2.2142
4.8935,-0.5708,2.2051,2.2051
