# x_m,y_m,w_tr_right_m,w_tr_left_m
-0.2100,3.8300,0.8748,0.8748
-0.2300,3.8300,0.8713,0.8713
-0.2500,3.8100,0.8881,0.8881
-0.2700,3.8100,0.8857,0.8857
-0.2900,3.8100,0.8836,0.8836
-0.3100,3.8100,0.8820,0.8820
-0.3300,3.8100,0.8809,0.8809
-0.3500,3.8100,0.8802,0.8802
-0.3700,3.8100,0.8800,0.8800
-0.3900,3.8100,0.8800,0.8800
-0.4100,3.8100,0.8800,0.8800
-0.4300,3.7900,0.9000,0.9000
-0.4500,3.7900,0.9000,0.9000
-0.4700,3.7900,0.9000,0.9000
-0.4900,3.7900,0.9000,0.9000
-0.5100,3.7900,0.9000,0.9000
-0.5300,3.7900,0.9002,0.9002
-0.5500,3.7900,0.9009,0.9009
-0.5700,3.7900,0.9020,0.9020
-0.5900,3.7700,0.9235,0.9235
-0.6100,3.7700,0.9254,0.9254
-0.6300,3.7700,0.9278,0.9278
-0.6500,3.7500,0.9504,0.9504
-0.6700,3.7500,0.9535,0.9535
-0.6900,3.7300,0.9767,0.9767
-0.7100,3.7300,0.9806,0.9806
-0.7300,3.7100,0.9895,0.9895
-0.7500,3.7100,0.9946,0.9946
-0.7700,3.7100,1.0000,1.0000
-0.7900,3.7100,1.0058,1.0058
-0.8100,3.6900,0.9930,0.9930
-0.8300,3.6900,0.9996,0.9996
-0.8500,3.6900,1.0032,1.0032
-0.8700,3.6700,0.9954,0.9954
-0.8900,3.6700,1.0032,1.0032
-0.9100,3.6700,0.9996,0.9996
-0.9300,3.6500,1.0018,1.0018
-0.9500,3.6500,1.0058,1.0058
-0.9700,3.6300,0.9996,0.9996
-0.9900,3.6300,1.0066,1.0066
-1.0100,3.6300,1.0090,1.0090
-1.0300,3.6100,1.0032,1.0032
-1.0500,3.6100,1.0113,1.0113
-1.0700,3.5900,1.0018,1.0018
-1.0900,3.5900,1.0107,1.0107
-1.1100,3.5700,1.0024,1.0024
-1.1300,3.5700,1.0121,1.0121
-1.1500,3.5500,1.0050,1.0050
-1.1700,3.5500,1.0155,1.0155
-1.1900,3.5300,1.0096,1.0096
-1.2100,3.5300,1.0121,1.0121
-1.2300,3.5100,1.0107,1.0107
-1.2500,3.5100,1.0107,1.0107
-1.2700,3.4900,1.0066,1.0066
-1.2900,3.4900,1.0107,1.0107
