# x_m,y_m,w_tr_right_m,w_tr_left_m
-2.8100,-9.3300,0.8500,0.8500
-2.8600,-9.3300,0.8500,0.8500
-2.9100,-9.3300,0.8500,0.8500
-2.9600,-9.3300,0.8500,0.8500
-3.0100,-9.3800,0.9000,0.9000
-3.0600,-9.3800,0.9000,0.9000
-3.1100,-9.3800,0.9000,0.9000
-3.1600,-9.4300,0.9487,0.9487
-3.2100,-9.4300,0.9500,0.9500
-3.2600,-9.4300,0.9500,0.9500
-3.3100,-9.4800,0.9341,0.9341
-3.3600,-9.4800,0.9487,0.9487
-3.4100,-9.4800,0.9657,0.9657
-3.4600,-9.5300,0.9341,0.9341
-3.5100,-9.5300,0.9487,0.9487
-3.5600,-9.5300,0.9618,0.9618
-3.6100,-9.5800,0.9220,0.9220
-3.6600,-9.5800,0.9341,0.9341
-3.7100,-9.5800,0.9487,0.9487
-3.7600,-9.6300,0.9192,0.9192
-3.8100,-9.6300,0.9341,0.9341
-3.8600,-9.6800,0.9014,0.9014
-3.9100,-9.6800,0.9192,0.9192
-3.9600,-9.7300,0.8944,0.8944
-4.0100,-9.7300,0.9179,0.9179
-4.0600,-9.7800,0.9014,0.9014
-4.1100,-9.8300,0.8902,0.8902
-4.1600,-9.8300,0.9014,0.9014
-4.2100,-9.8800,0.8902,0.8902
-4.2600,-9.9300,0.8746,0.8746
-4.3100,-9.9800,0.8602,0.8602
-4.3600,-10.0300,0.8515,0.8515
-4.4100,-10.0300,0.8485,0.8485
-4.4600,-10.0800,0.8500,0.8500
-4.5100,-10.1300,0.8322,0.8322
-4.5600,-10.1800,0.8201,0.8201
-4.6100,-10.2300,0.8139,0.8139
-4.6600,-10.2800,0.8139,0.8139
-4.7100,-10.3300,0.8201,0.8201
-4.7100,-10.3800,0.8201,0.8201
-4.7600,-10.4300,0.8322,0.8322
-4.8100,-10.4800,0.8201,0.8201
-4.8100,-10.5300,0.8201,0.8201
-4.8600,-10.5800,0.8322,0.8322
