# x_m,y_m,w_tr_right_m,w_tr_left_m
3.7990,4.1120,1.6140,1.6140
3.7490,4.1120,1.6279,1.6279
3.6990,4.1120,1.6194,1.6194
3.6490,4.1120,1.6125,1.6125
3.5990,4.0620,1.6140,1.6140
3.5490,4.0620,1.6286,1.6286
3.4990,4.0620,1.6378,1.6378
3.4490,4.0620,1.6279,1.6279
3.3990,4.0620,1.6194,1.6194
3.3490,4.0620,1.6125,1.6125
3.2990,4.0120,1.6568,1.6568
3.2490,4.0120,1.6530,1.6530
3.1990,3.9620,1.6763,1.6763
3.1490,3.9620,1.6867,1.6867
3.0990,3.9620,1.6867,1.6867
3.0490,3.9620,1.6771,1.6771
2.9990,3.9620,1.6688,1.6688
2.9490,3.9620,1.6621,1.6621
2.8990,3.9120,1.6688,1.6688
2.8490,3.9120,1.6771,1.6771
2.7990,3.9120,1.6867,1.6867
2.7490,3.9120,1.6978,1.6978
2.6990,3.9120,1.6867,1.6867
2.6490,3.9120,1.6771,1.6771
2.5990,3.9120,1.6688,1.6688
2.5490,3.8620,1.7088,1.7088
2.4990,3.8620,1.7066,1.7066
2.4490,3.8620,1.7029,1.7029
2.3990,3.8620,1.7007,1.7007
2.3490,3.8120,1.6978,1.6978
2.2990,3.8120,1.7029,1.7029
2.2490,3.8120,1.7066,1.7066
2.1990,3.8120,1.7117,1.7117
2.1490,3.8120,1.7117,1.7117
2.0990,3.7620,1.6771,1.6771
2.0490,3.7620,1.6867,1.6867
1.9990,3.7620,1.6978,1.6978
1.9490,3.7620,1.7103,1.7103
1.8990,3.7620,1.7241,1.7241
1.8490,3.7620,1.7183,1.7183
1.7990,3.7120,1.7088,1.7088
1.7490,3.7120,1.7270,1.7270
1.6990,3.7120,1.7357,1.7357
1.6490,3.7120,1.7263,1.7263
1.5990,3.7120,1.7183,1.7183
1.5490,3.6620,1.7357,1.7357
1.4990,3.6620,1.7464,1.7464
1.4490,3.6620,1.7464,1.7464
1.3990,3.6620,1.7357,1.7357
1.3490,3.6620,1.7263,1.7263
1.2990,3.6120,1.7117,1.7117
1.2490,3.6120,1.7183,1.7183
1.1990,3.6120,1.7263,1.7263
1.1490,3.6120,1.7183,1.7183
1.0990,3.6120,1.7117,1.7117
1.0490,3.6120,1.7066,1.7066
0.9990,3.6120,1.7029,1.7029
0.9490,3.6120,1.7007,1.7007
0.8990,3.5620,1.6500,1.6500
0.8490,3.5620,1.6500,1.6500
0.7990,3.5620,1.6500,1.6500
0.7490,3.5620,1.6500,1.6500
0.6990,3.5620,1.6508,1.6508
0.6490,3.5620,1.6530,1.6530
0.5990,3.5620,1.6568,1.6568
0.5490,3.5620,1.6621,1.6621
0.4990,3.5620,1.6688,1.6688
0.4490,3.5620,1.6771,1.6771
0.3990,3.5620,1.6771,1.6771
0.3490,3.5620,1.6688,1.6688
0.2990,3.5120,1.6621,1.6621
0.2490,3.5120,1.6763,1.6763
0.1990,3.5120,1.6919,1.6919
0.1490,3.5120,1.6867,1.6867
0.0990,3.5120,1.6771,1.6771
0.0490,3.5120,1.6688,1.6688
-0.0010,3.4620,1.7088,1.7088
-0.0510,3.4620,1.7066,1.7066
-0.1010,3.4620,1.6978,1.6978
-0.1510,3.4120,1.7219,1.7219
-0.2010,3.4120,1.7241,1.7241
-0.2510,3.4120,1.7103,1.7103
-0.3010,3.3620,1.7443,1.7443
-0.3510,3.3620,1.7357,1.7357
-0.4010,3.3620,1.7263,1.7263
-0.4510,3.3620,1.7183,1.7183
-0.5010,3.3120,1.7614,1.7614
-0.5510,3.3120,1.7564,1.7564
-0.6010,3.3120,1.7529,1.7529
-0.6510,3.2620,1.7868,1.7868
-0.7010,3.2620,1.7847,1.7847
-0.7510,3.2120,1.7720,1.7720
-0.8010,3.2120,1.7868,1.7868
-0.8510,3.2120,1.7951,1.7951
-0.9010,3.2120,1.7847,1.7847
-0.9510,3.1620,1.7923,1.7923
-1.0010,3.1620,1.8069,1.8069
-1.0510,3.1620,1.7951,1.7951
-1.1010,3.1120,1.8118,1.8118
-1.1510,3.1120,1.8200,1.8200
